paper_st,honorary_nm,record_st,stair_st,feat_type,borough,roadway_typ,street_nm,feat_statu,the_geom,old_st_nm
,,,,Mapped_St,Manhattan,Surface_ST,Wards Meadow Loop,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93174543935064, 40.78287250666943], [-73.93151069424366, 40.782930097670004], [-73.93150292088579, 40.78293183372004]]]}",
,Mary Pinkett Avenue,,,Mapped_St,Brooklyn,Surface_ST,Washington Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96735128176061, 40.69569428948006], [-73.96688041995752, 40.69334171209047]]]}",
,James E. Davis Avenue,,,Mapped_St,Brooklyn,Surface_ST,Nostrand Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94999696904702, 40.67520407415273], [-73.94991399555813, 40.67608355031728]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Hanover Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.08733033243944, 40.606447732991334], [-74.08677967034228, 40.606978665667825]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Franklin Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95724042867771, 40.72774839735061], [-73.95735798960094, 40.7284611927914]]]}",
N,,,,Mapped_St,Queens,Surface_ST,122 Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8154033684871, 40.67562422545111], [-73.81564285913778, 40.67485491697724], [-73.81584352712986, 40.6742103088322], [-73.81606118416792, 40.673511109296825]], [[-73.81606118416792, 40.673511109296825], [-73.81608033262373, 40.67344987053076], [-73.81627632453836, 40.672823061785785], [-73.81647777655148, 40.67217877963578], [-73.81662903602246, 40.67169501444193]], [[-73.81662903602246, 40.67169501444193], [-73.81665843611955, 40.671600318781444], [-73.81719289522012, 40.66987882094322]], [[-73.81719289522012, 40.66987882094322], [-73.8177587959957, 40.668069881240015]], [[-73.8177587959957, 40.668069881240015], [-73.8177617082894, 40.668060570899534], [-73.81778360584845, 40.66799016800032], [-73.81798858014072, 40.667331159592145], [-73.81832703413988, 40.6662429686708]], [[-73.81832703413988, 40.6662429686708], [-73.81857034893815, 40.66545989047006]]]}",
Y,,,N,Mapped_St,Queens,Surface_ST,Beach 65 Street,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.79489814219703, 40.59981967612723], [-73.7948952022333, 40.599791772623284], [-73.79482999545118, 40.599172929961945]]]}",
,Rabbi Weissmandl Way,,,Mapped_St,Brooklyn,Surface_ST,50 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98281259292759, 40.628493798914995], [-73.98156582152131, 40.6277388261791]]]}",
N,,,,Mapped_St,Queens,Surface_ST,160 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.80548338595842, 40.71471546670393], [-73.805231466949, 40.71403050169602]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Nippon Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.19288071861764, 40.53987056927314], [-74.19320427604735, 40.54054951242531]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Covert Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90350446604619, 40.695273887306485], [-73.90422137179453, 40.694534220174845], [-73.90504290750113, 40.69370315715216]]]}",
N,,,,Mapped_St,Queens,Surface_ST,184 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.77800119647388, 40.714051123898855], [-73.77796341084537, 40.713933824902895], [-73.77792356142864, 40.713810119261346], [-73.77771714450448, 40.71316933068405], [-73.7775718258501, 40.71271820342793], [-73.77752740510385, 40.712580301203516]], [[-73.77752740510385, 40.712580301203516], [-73.77747735895426, 40.712428780425384], [-73.77743987370314, 40.71231528737975], [-73.77728947355637, 40.71185991747083], [-73.77724222738627, 40.71171686862003], [-73.77711403567808, 40.71132873144035], [-73.77708824849002, 40.71125065379972]], [[-73.77708824849002, 40.71125065379972], [-73.77706342074171, 40.71117233397124], [-73.77699925364756, 40.71096992549099], [-73.77697772496427, 40.71090201296515], [-73.77696371059591, 40.71087489295719], [-73.77695236296059, 40.710852930854095], [-73.77690700926911, 40.71080854669744], [-73.77684514324355, 40.71077554902847], [-73.77677484852448, 40.710758248946874], [-73.77670556447833, 40.71075684485049], [-73.77670059589724, 40.71074466566976], [-73.77659787137834, 40.71049281238415]], [[-73.77659787137834, 40.71049281238415], [-73.77641183574463, 40.71001597852965], [-73.77639814908632, 40.70998089584138], [-73.77633950602433, 40.709830586109604]], [[-73.77633950602433, 40.709830586109604], [-73.77618588647064, 40.70945683811561], [-73.77605275945703, 40.70913294079358], [-73.77604320590102, 40.70910937376697]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Montvale Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.15385780335697, 40.54779170096765], [-74.15383164979494, 40.54776544149221], [-74.15304290406982, 40.546973481512445]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Baltimore Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.15247471700431, 40.55146470914531], [-74.15341283366062, 40.551232276306585]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Sedgwick Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91887635115076, 40.85275648658664], [-73.91883794737883, 40.85277077739181], [-73.91874064161853, 40.85280315270628], [-73.91864522349924, 40.852838619756945]]]}",
N,,,,Mapped_St,Queens,Surface_ST,120 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.81819098640256, 40.675963636620295], [-73.81823283271433, 40.67582813264564], [-73.81879586494397, 40.674004881652785]]]}",
,Detective David Allen Way,,,Mapped_St,Brooklyn,Surface_ST,Tompkins Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94447906971408, 40.686175885446374], [-73.94462380016334, 40.686904071018155]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Cadman Plaza West,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99040886402598, 40.6937134422495], [-73.99040476650704, 40.693699956728594]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Flatlands 3 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.89040437230994, 40.64368880697181], [-73.88999522147343, 40.64395207022903], [-73.8886542274368, 40.64481489950758], [-73.88827067412961, 40.64506168388682]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Legion Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91644317294889, 40.661437079942075], [-73.91682246055964, 40.6629681358989], [-73.91682409491519, 40.66297472886203]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,20 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.97948359827004, 40.653341759397335], [-73.9799255149605, 40.65400236942116]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East New York Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93287270402433, 40.662673449305146], [-73.9315563888567, 40.66275540408501]]]}",
N,,,,Mapped_St,Queens,Surface_ST,147 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76990485737423, 40.66091194468283], [-73.76981307473189, 40.660886807655956], [-73.76895303328577, 40.66065126349536]]]}",
N,,,,Mapped_St,Queens,Surface_ST,250 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7296169282431, 40.66398277718931], [-73.72783352346165, 40.663976437316194]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Bushwick Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91087799154006, 40.68536398214575], [-73.91013192559117, 40.68493955056295]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,East 139 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9342294212443, 40.8150230630878], [-73.93418373684561, 40.815062828713955], [-73.9341451985234, 40.815106745775964], [-73.93411445243758, 40.81515407794694], [-73.93409201410452, 40.81520403163963], [-73.93407825975274, 40.815255769311655], [-73.93407342001376, 40.81530842350775], [-73.93393675488198, 40.816919431817944], [-73.93398205463228, 40.817299278366534]], [[-73.93484992825576, 40.81494579701983], [-73.93478811568139, 40.81492588829896], [-73.93472351463285, 40.8149119999141], [-73.93465713648203, 40.81490434929679], [-73.934590020421, 40.81490305622225], [-73.93452321719361, 40.8149081409344], [-73.93445777264647, 40.81491952382885], [-73.93439471135625, 40.81493702669917], [-73.9343350205902, 40.81496037552663], [-73.93427963485047, 40.81498920476995], [-73.9342294212443, 40.8150230630878]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Garland Court,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93182422225105, 40.59469316015647], [-73.93189014837458, 40.59475257793577], [-73.93241279796045, 40.59522362590352], [-73.93243212511305, 40.59524104437791]]]}",
Y,,,N,Mapped_St,Queens,Surface_ST,132 Avenue,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.79932507359948, 40.66993751263234], [-73.79888910067275, 40.67003647106949]]]}",
N,,,,Mapped_St,Queens,Surface_ST,227 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75059807526031, 40.665023751212864], [-73.7512613004669, 40.664000682204325]]]}",
Y,,,,Mapped_St,Staten Island,Surface_ST,Rustic Place,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.14672731470363, 40.54761093276944], [-74.14636107529606, 40.54793719398117]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,O'Gorman Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.13312073606325, 40.557159871079726], [-74.13354189643091, 40.55682579367683], [-74.133791351257, 40.55659772227796], [-74.13469846819902, 40.555778631393686]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Beard Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.01543446006356, 40.67519323964044], [-74.01666551187591, 40.67602657003559]]]}",
N,,Y,N,Not_mapped,Staten Island,Surface_ST,Huguenot Avenue,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.1871966281175, 40.52550941956162], [-74.18665682554708, 40.52472879867271]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Starlight Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09401374579748, 40.61190035210438], [-74.09400775739111, 40.61189967350618], [-74.09391485573954, 40.611892503899966], [-74.09382148726773, 40.61189155430711], [-74.09372836764405, 40.61189683200621], [-74.09363621062964, 40.61190829654375], [-74.09354572260804, 40.61192586004413], [-74.09345759717134, 40.61194938788308], [-74.0933738460997, 40.61197936399431], [-74.09329371497681, 40.61201462177181], [-74.09321777601687, 40.61205490944345], [-74.093160445727, 40.61209240578963], [-74.09310712739018, 40.612133195390534], [-74.09305814582189, 40.612177029761575], [-74.0930386177597, 40.61219657698446], [-74.09300255602672, 40.61223573923812], [-74.09293999653615, 40.61230367746595], [-74.09281431203551, 40.612454635310655], [-74.09269806253343, 40.61260980795261]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Hoyt Avenue North,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91823255901144, 40.771478856616305], [-73.91725912471465, 40.77077252710105]], [[-73.91725912471465, 40.77077252710105], [-73.91708642943605, 40.77067076761511], [-73.91700455773574, 40.77062160384341], [-73.9169187062852, 40.77057653430046], [-73.91682922875559, 40.770535744649514], [-73.91673649375352, 40.77049940292251], [-73.91664088330268, 40.77046765882804], [-73.91654279127034, 40.77044064313469]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Kingsland Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94023367212334, 40.717108473550745], [-73.94033253968426, 40.717792203912275]]]}",
N,,,,Mapped_St,Queens,Surface_ST,68 Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8461869933511, 40.72629449086927], [-73.84505046230822, 40.726632533273346], [-73.8439335212163, 40.72696473409413]]]}",
N,,,,Mapped_St,Queens,Surface_ST,192 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75983903684957, 40.69338725490861], [-73.75942088762793, 40.69249149168816], [-73.7594109038246, 40.692470103365146]], [[-73.7594109038246, 40.692470103365146], [-73.75917662040844, 40.691983392133174], [-73.75909935728984, 40.691822880870696]], [[-73.75909935728984, 40.691822880870696], [-73.75902770890472, 40.691674621128755], [-73.75878804246855, 40.69117868368864]], [[-73.75878804246855, 40.69117868368864], [-73.75848920212123, 40.69052820816347]]]}",
,,,,Mapped_St,Bronx,Surface_ST,East 172 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87377561466654, 40.831947864819234], [-73.87421783213495, 40.83188853166449]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Dutchess Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.09884846557938, 40.59646359942232], [-74.09986397709974, 40.596048591522575]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Avenue J,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90121655796881, 40.64046178672729], [-73.90050328694242, 40.64092287690742]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Sutter Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9138666260018, 40.66659830437219], [-73.91477806789807, 40.666464074149]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Richmond Terrace,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.17975634640631, 40.64082855023843], [-74.18084443588721, 40.64081723025917], [-74.1825248390288, 40.64165588735829], [-74.18304847881598, 40.641917216303156]]]}",
N,,,,Mapped_St,Queens,Surface_ST,84 Drive,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.81505510451707, 40.71093722897921], [-73.8148935360169, 40.71098687571108], [-73.81489327662524, 40.71098695634014], [-73.8148930042911, 40.71098700993299], [-73.81472346434437, 40.711022505556755], [-73.81472331040098, 40.7110225413295], [-73.81472315650764, 40.71102255909208], [-73.81462489635848, 40.71103405173764], [-73.81454862764258, 40.71104297184437], [-73.81454848558326, 40.71104298962577], [-73.81454832106417, 40.71104299836584], [-73.81437257028522, 40.711047875036826], [-73.81437232056058, 40.71104788363927], [-73.81437207327798, 40.71104786523027], [-73.8141983414658, 40.71103742716782]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Smith Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9986945211504, 40.67282457579263], [-73.99838447415436, 40.673467357726665]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Duane Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.00658656266594, 40.71576625241789], [-74.00541948412457, 40.71523605680991]]]}",
Y,,,,Mapped_St,Staten Island,Surface_ST,Seaver Avenue,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.100015722516, 40.58535138747029], [-74.10001492567596, 40.58535090638349], [-74.09850478910644, 40.58443921548016]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Driggs Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95066167569809, 40.721689169632775], [-73.95287218007569, 40.72035888024616], [-73.95347565224517, 40.71980125533959]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Ditmars Boulevard,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.86157333948194, 40.762644597078356], [-73.86139297008559, 40.76238703376453], [-73.86119707237545, 40.762135574886436], [-73.86098621678721, 40.761891040513724], [-73.86076106509013, 40.76165416977935], [-73.86052234773295, 40.76142569289408]]]}",
N,,,,Mapped_St,Queens,Surface_ST,37 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.74404882762263, 40.775850248335324], [-73.74393558801556, 40.77588800712238], [-73.74294328266892, 40.77621888514047], [-73.74280602912107, 40.77626465057798]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Oakdale Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1602097691224, 40.54282500272547], [-74.16021404327351, 40.54282245457024], [-74.16094671854344, 40.542418113881354]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Egmont Place,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.76803588259858, 40.61058611609027], [-73.76595588714787, 40.61180460205027]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Fountain Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8749525082394, 40.67365168966179], [-73.87526691598329, 40.674919926696845]]]}",
N,,,,Mapped_St,Queens,Surface_ST,51 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.7409696403519, 40.76030119129897], [-73.7395799806254, 40.76081779581166]]]}",
N,,,,Mapped_St,Queens,Surface_ST,157 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.84814297165963, 40.66145247477093], [-73.84721948529155, 40.6615856722003]]]}",
,W.E.B. DuBois Avenue,,,Mapped_St,Manhattan,Surface_ST,Bradhurst Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.93896034854676, 40.828986329715434], [-73.93864026728531, 40.82973887467965]]]}",
N,,,N,Not_mapped,Staten Island,Surface_ST,Gianna Court,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.14026718604802, 40.567953996142215], [-74.14033426554099, 40.56786950699734], [-74.14051894850235, 40.56763688874605]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Leverett Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.1576550532292, 40.55625596167657], [-74.15860957919416, 40.55613717991405]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Roosevelt Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87330153875025, 40.748753823105226], [-73.87277588325605, 40.748809196700805]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Amity Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.99501077097412, 40.6889195651151], [-73.99687615549593, 40.68943549082667]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Wards Meadow Loop,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.92703198362246, 40.78424340795084], [-73.92715077579132, 40.784263339710456], [-73.92726774688278, 40.78428874314369], [-73.92738246111072, 40.784319523608254], [-73.92749449162143, 40.78435556649805], [-73.9276034204964, 40.784396737495435], [-73.92770884190446, 40.78444288321378], [-73.92788449722275, 40.78451108830041], [-73.92808945403306, 40.784568835870104], [-73.92828755093713, 40.78459645882746], [-73.9284288183959, 40.78460178486417], [-73.92861316457493, 40.784600589872895], [-73.92882680800443, 40.784590245577334], [-73.92896982601538, 40.78456938184248], [-73.9291025226033, 40.78453410625633], [-73.9291921541981, 40.78449356584757], [-73.92928697428141, 40.78443338591016], [-73.92935939019497, 40.78437973971113], [-73.92942146380243, 40.78433132445045], [-73.92951423285628, 40.78429002748926], [-73.92973577141308, 40.784220049713646], [-73.92987263903467, 40.78419080013879], [-73.92995681373226, 40.78417650813855]], [[-73.92995681373226, 40.78417650813855], [-73.93004308719094, 40.78415819480979], [-73.9304588569244, 40.78409624068976], [-73.93052606861589, 40.78408207913244], [-73.930590642082, 40.784062043619144], [-73.93065169218903, 40.7840364087853], [-73.93070838210208, 40.784005526018234], [-73.93075993475632, 40.78396981864043], [-73.93080564325025, 40.783929776156356], [-73.93084488134902, 40.78388594743283], [-73.9308771112214, 40.78383893323884], [-73.93090189110222, 40.783789378006034], [-73.93091888134704, 40.78373796099502], [-73.93104714619975, 40.7833200447042]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Pearl Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98775860530908, 40.7002091148225], [-73.98773293052987, 40.70065323292274]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Ridgewood Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.16338643478348, 40.5489158336726], [-74.1638686085018, 40.55105494414316]]]}",
,,,,Mapped_St,Queens,Surface_ST,Union Turnpike,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.8527537058332, 40.70739714661], [-73.85134999598075, 40.70786104069105]]]}",
,,,,Not_mapped,Staten Island,Surface_ST,Pembrook Loop,Way_on_record,"{'type': 'MultiLineString', 'coordinates': [[[-74.21969323660322, 40.536048981878764], [-74.21970260133162, 40.53600125477023], [-74.21971900892048, 40.53595578733432], [-74.2197440671347, 40.53591267719529], [-74.21977722254046, 40.535872876452785], [-74.22022750433982, 40.53561246280726], [-74.22017105699234, 40.53554289704423], [-74.2201200875316, 40.53549801313002], [-74.22006372565421, 40.53545705397748], [-74.22000248804004, 40.53542039505999], [-74.21992484397609, 40.5353849026298], [-74.2197817515632, 40.5352344071636], [-74.21976830571562, 40.53522117799729], [-74.21970190538723, 40.53518814305323], [-74.21846464427902, 40.53530711995985], [-74.21831442096668, 40.53532156474463]]]}",
N,,,,Mapped_St,Queens,Surface_ST,Menahan Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.90075322181787, 40.71100039612951], [-73.89985455660796, 40.71126456089662]], [[-73.9012663268839, 40.71084956405121], [-73.90075322181787, 40.71100039612951]], [[-73.90264988455515, 40.71044539520208], [-73.90206873576207, 40.710615164667985], [-73.9016151868478, 40.71074765559312], [-73.9012663268839, 40.71084956405121]], [[-73.90474401299203, 40.709988336533534], [-73.90421449343611, 40.71012839584131], [-73.9027993239613, 40.710502694951785], [-73.90264988455515, 40.71044539520208]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Woods of Arden Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.16091462348135, 40.5326498081421], [-74.16030551442874, 40.532141438058716]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Bushwick Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.91538921502924, 40.687932314506746], [-73.91464246693958, 40.687507041948415], [-73.91464069965153, 40.68750603386294]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Watson Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.87765539651951, 40.82615376352373], [-73.87672530267008, 40.826278517393824]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Varet Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94421657054941, 40.70289471597483], [-73.94249828086254, 40.70305857762866]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Humboldt Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.94542601496406, 40.72552738885662], [-73.94567834063919, 40.727012526974846]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Bard Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.10559519133096, 40.62234559059722], [-74.10641182171791, 40.62194867143871], [-74.10669929881813, 40.621821946626945], [-74.10758591428244, 40.62153117957391], [-74.10842005038731, 40.6212637246359]]]}",
,,,,Mapped_St,Bronx,Surface_ST,Longstreet Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.80596500022656, 40.818624887177364], [-73.80664965947419, 40.82001841336128], [-73.80705197329006, 40.82077348519238]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Dongan Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.12398146449874, 40.63274668730076], [-74.12386030625476, 40.63183498986646]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Avenue C,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.98130824244679, 40.720708785209574], [-73.98108671597947, 40.72102468473329]]]}",
,,,,Mapped_St,Bronx,Surface_ST,East 233 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.88011092142489, 40.895257885703984], [-73.87986586646753, 40.89527515708459], [-73.87711974112166, 40.89546866332119], [-73.87572387342986, 40.89562260178393], [-73.87480617963703, 40.89572569907596], [-73.87447451070435, 40.895775947972545], [-73.87241034453776, 40.89624128533134], [-73.87092181747494, 40.89657957358181], [-73.87081366016636, 40.89659759667661], [-73.87070429701691, 40.89661078039069], [-73.87059410376666, 40.896619079428596], [-73.8704834590083, 40.89662246527724], [-73.87038966764288, 40.89662148420608], [-73.87029605606797, 40.896616971773085], [-73.87020285506702, 40.896608939102926], [-73.87006981091822, 40.89659073651244], [-73.86691956121798, 40.89609692737065], [-73.86490964915176, 40.89576640557424], [-73.86463933127267, 40.895704924191186], [-73.86437090383976, 40.895638846111304], [-73.86410450259886, 40.895568204752045], [-73.86401066900983, 40.89554330118984], [-73.86385576276892, 40.89549696011584], [-73.86370403563224, 40.8954449141971], [-73.86355585222255, 40.89538728851022]]]}",
Y,,,,Mapped_St,Brooklyn,Surface_ST,Harwood Place,Paper_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.9297819708178, 40.63661078453237], [-73.9306649214098, 40.63615318660348]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Stanley Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.89189732042917, 40.65591254600467], [-73.89107426819551, 40.65626672652889]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,West 100 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.96562824593207, 40.79545621853412], [-73.96656799368655, 40.79584792421091], [-73.96737744895199, 40.796185303270775], [-73.9684762869085, 40.79664328801781]], [[-73.96430242613785, 40.794786582008285], [-73.96441354582801, 40.794842706711655], [-73.96449804690776, 40.79488538585127], [-73.9648178036981, 40.79504688590517], [-73.96562824593207, 40.79545621853412]], [[-73.96280590693829, 40.79423581324594], [-73.9638438851512, 40.79460454708905], [-73.96430242613785, 40.794786582008285]]]}",
N,,,,Mapped_St,Queens,Surface_ST,136 Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.75486484212382, 40.677934049266256], [-73.75471409873755, 40.67788419950947], [-73.7542578095029, 40.67773330671274], [-73.75375909539028, 40.67756838129054], [-73.75365854220102, 40.677535127837395]], [[-73.75365854220102, 40.677535127837395], [-73.7533804590068, 40.67744598146445], [-73.75282604333972, 40.67726824787645]], [[-73.75282604333972, 40.67726824787645], [-73.7518327298173, 40.676945759316915]], [[-73.7518327298173, 40.676945759316915], [-73.75155376595275, 40.6768555602103], [-73.75105528880303, 40.6766943822977], [-73.75100317332377, 40.676677530690014]], [[-73.75100317332377, 40.676677530690014], [-73.75017147994404, 40.676409381470776]], [[-73.75017147994404, 40.676409381470776], [-73.74962160916743, 40.676234162802], [-73.74934284364109, 40.676145330235386]], [[-73.74934284364109, 40.676145330235386], [-73.7485315772144, 40.6758806716068]]]}",
,,,,Mapped_St,Staten Island,Surface_ST,Walden Avenue,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.12139250942907, 40.58014316673541], [-74.12097656214677, 40.57953543151229]]]}",
,,,,Mapped_St,Manhattan,Surface_ST,Ferry Line Road,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-74.01542782102364, 40.69279170832479], [-74.01550864847982, 40.6925831926955]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,East 105 Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.88676137904632, 40.640426705065174], [-73.88618654538915, 40.6399044478445]]]}",
,,,,Mapped_St,Brooklyn,Surface_ST,Martense Street,City_St,"{'type': 'MultiLineString', 'coordinates': [[[-73.95590670780572, 40.65136883325857], [-73.95256271781538, 40.651546003214385]]]}",
