_2014_score,borough,_2010_score,block,_2014_ghg_emissions_intensity_kgco2e_ft,lot,bin,_2010_ghg_emissions_intensity_kgco2e_ft
42,2.0,50,2780.0,52,2.0,2118145.0,47.2
76,3.0,85,1726.0,4,14.0,3048352.0,3.3
Not Available,2.0,Not Available,2314.0,15.4,30.0,2000700.0,14.3
22,2.0,11,3109.0,6.2,1.0,2012957.0,6.2
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
Not Available,3.0,Not Available,7018.0,22.2,1.0,3188979.0,2.1
Not Available,2.0,Not Available,2605.0,70.8,40.0,2109475.0,12.7
9,5.0,1,506.0,8,81.0,5013382.0,10
40,4.0,48,10582.0,5.3,16.0,4225816.0,4.8
Not Available,1.0,Not Available,794.0,5.7,64.0,1014723.0,5.5
61,1.0,36,29.0,7.8,73.0,1000850.0,9.1
Not Available,4.0,Not Available,7333.0,9.7,215.0,4157389.0,8.7
Not Available,3.0,Not Available,1240.0,4.8,56.0,3031515.0,4.3
Not Available,3.0,Not Available,3448.0,2.8,15.0,3080179.0,2.7
Not Available,5.0,Not Available,487.0,10.8,112.0,5106798.0,6.4
95,3.0,6,2712.0,3.7,1.0,3067788.0,4.6
1,3.0,Not Available,132.0,33.8,1.0,3000246.0,Not Available
47,3.0,36,4106.0,5.1,39.0,3090998.0,4.6
87,3.0,81,6399.0,4.2,26.0,3167623.0,3.9
95,2.0,88,2698.0,3,12.0,2005366.0,5.1
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439915.0,7.5
83,4.0,73,714.0,2.9,1.0,4012664.0,3.7
21,2.0,91,2530.0,14,21.0,2003522.0,2.7
37,1.0,62,2133.0,5,40.0,1063228.0,4.3
60,4.0,11,610.0,4.9,1.0,4008220.0,5.7
6,3.0,13,717.0,6.1,61.0,3010669.0,4.8
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
66,1.0,41,1946.0,4.9,1.0,1059111.0,4.2
Not Available,1.0,Not Available,962.0,6.9,100.0,1069579.0,6.7
62,4.0,54,6121.0,5.2,1.0,4135975.0,5.1
Not Available,4.0,Not Available,2361.0,14.1,268.0,4462505.0,17.3
88,1.0,88,698.0,3.9,1.0,1012389.0,3.9
69,4.0,71,10250.0,4.9,1.0,4218416.0,4.4
Not Available,4.0,Not Available,3866.0,50.4,70.0,4094697.0,40.4
Not Available,4.0,Not Available,46.0,4.3,34.0,4000333.0,8.4
81,2.0,63,3295.0,5.2,1.0,2094729.0,5.9
68,4.0,1,344.0,4.7,1.0,4004170.0,24
95,2.0,93,3033.0,4.1,7501.0,2116415.0,4.1
Not Available,3.0,Not Available,2079.0,9,21.0,3058406.0,9.3
Not Available,5.0,Not Available,504.0,3.6,49.0,5013317.0,15
67,3.0,52,6329.0,4,32.0,3165232.0,5.1
Not Available,2.0,Not Available,2368.0,3.9,39.0,2001228.0,3.6
Not Available,1.0,Not Available,1767.0,6.7,39.0,1088302.0,6.7
Not Available,3.0,Not Available,1336.0,10.6,18.0,3330693.0,15.5
56,2.0,27,3247.0,5.2,15.0,2101862.0,6.3
88,3.0,93,369.0,5.3,1.0,3336036.0,4.3
Not Available,2.0,Not Available,3247.0,4.6,1.0,2097315.0,4.5
72,4.0,74,9204.0,4.1,28.0,4192167.0,2.8
94,4.0,93,11445.0,4.2,1.0,4247454.0,3.7
96,2.0,92,2468.0,4,1.0,2002869.0,5.8
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100255.0,2.5
80,2.0,77,3209.0,7.1,1.0,2086823.0,5.5
75,1.0,49,1694.0,3.1,1.0,1083933.0,5
Not Available,4.0,Not Available,2018.0,13.3,1.0,4854761.0,11.3
92,3.0,87,7786.0,4.4,1.0,3215816.0,4.5
72,1.0,86,1158.0,4.7,40.0,1030351.0,4.7
Not Available,2.0,Not Available,3702.0,10.8,1.0,2094842.0,2.7
Not Available,1.0,Not Available,2028.0,7.5,51.0,1075491.0,7.7
47,4.0,51,9491.0,5.1,1.0,4200748.0,4.1
Not Available,3.0,Not Available,3844.0,18.1,1.0,3085646.0,16.1
31,1.0,31,577.0,8.5,34.0,1009716.0,8.7
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439910.0,7.5
Not Available,3.0,Not Available,1259.0,5.2,36.0,3032563.0,6.6
Not Available,4.0,Not Available,8693.0,6.5,10.0,4177530.0,Not Available
Not Available,3.0,Not Available,5086.0,6.9,15.0,3116706.0,8
Not Available,1.0,Not Available,342.0,11,60.0,1004078.0,5.1
78,3.0,68,7782.0,4.2,34.0,3215797.0,4.5
54,2.0,20,3062.0,4.7,6.0,2011852.0,5.5
Not Available,5.0,Not Available,2040.0,11,1.0,5131066.0,10.1
68,3.0,65,269.0,4.8,14.0,3002643.0,5
90,1.0,73,288.0,3.9,15.0,1003736.0,4.8
Not Available,3.0,Not Available,725.0,42,200.0,3347738.0,8.7
75,5.0,64,1706.0,4.6,1.0,5107239.0,4.3
59,4.0,35,2003.0,5.1,23.0,4529578.0,5.8
95,4.0,74,1607.0,3,1.0,4437176.0,4.4
Not Available,4.0,Not Available,831.0,8.3,15.0,4016923.0,7.4
80,3.0,89,3427.0,4.8,11.0,3079428.0,3.8
Not Available,1.0,Not Available,1719.0,5.8,1.0,1083971.0,4.2
Not Available,2.0,Not Available,2605.0,14.6,40.0,0.0,12.7
Not Available,5.0,Not Available,939.0,5.7,1.0,5112436.0,1.5
69,4.0,63,1460.0,4.6,34.0,4035854.0,4.3
22,4.0,14,5674.0,9.5,2.0,4128231.0,7.9
80,4.0,65,4729.0,4.1,1.0,4107342.0,3.7
82,3.0,78,3774.0,4.8,16.0,3084348.0,4.5
57,3.0,71,6821.0,6,244.0,3184057.0,4.6
Not Available,3.0,Not Available,4812.0,6.9,1.0,3327674.0,7
91,2.0,77,4444.0,4.1,16.0,2051571.0,3.9
82,3.0,77,7244.0,4.6,1.0,3196224.0,4.3
Not Available,2.0,Not Available,3247.0,4.6,220.0,2095245.0,4.5
45,4.0,12,3534.0,4.6,12.0,4085173.0,8.6
52,4.0,54,2218.0,6.8,21.0,4052265.0,6.3
1,3.0,1,8591.0,12.7,75.0,3242371.0,14.2
53,4.0,45,11882.0,7.8,1.0,4257530.0,8.2
Not Available,2.0,Not Available,3247.0,4.6,1.0,2097312.0,4.5
Not Available,4.0,Not Available,1317.0,10.4,85.0,4030847.0,13.6
58,3.0,86,4965.0,5.5,1.0,3112334.0,2.6
Not Available,2.0,Not Available,3732.0,6.7,39.0,2023653.0,3.5
70,3.0,53,8034.0,5.1,1.0,3225637.0,5.4
Not Available,1.0,Not Available,2134.0,1.1,218.0,1087614.0,0.4
Not Available,1.0,Not Available,200.0,8,1.0,1066494.0,6.1
78,3.0,84,3241.0,3.6,37.0,3073752.0,3.9
88,2.0,76,3216.0,5,2.0,2014692.0,6.4
Not Available,3.0,Not Available,1020.0,6.6,1.0,3022747.0,8.9
67,4.0,54,206.0,7.7,3.0,4002915.0,5.6
60,4.0,78,16039.0,4.2,14.0,4302817.0,4.8
Not Available,1.0,Not Available,1609.0,9.7,1.0,1074157.0,8
Not Available,1.0,Not Available,1086.0,8.6,1.0,1027072.0,6.3
61,5.0,31,6796.0,5.6,44.0,5083311.0,5.9
36,2.0,34,2686.0,9.5,20.0,2005133.0,9.1
79,2.0,72,4633.0,8.8,40.0,2057045.0,7.7
93,4.0,93,417.0,4.5,2.0,4005022.0,4.8
Not Available,2.0,Not Available,2514.0,10.3,56.0,2003268.0,9
Not Available,4.0,Not Available,2675.0,7.1,15.0,4059838.0,8.2
Not Available,1.0,Not Available,1137.0,0.3,1.0,1000000.0,0.5
75,3.0,45,4623.0,4,28.0,3100292.0,5.8
Not Available,2.0,Not Available,2871.0,16.8,77.0,2008640.0,2.1
Not Available,5.0,Not Available,5900.0,7.1,500.0,5158123.0,4.3
Not Available,3.0,Not Available,5518.0,7,4.0,3132091.0,6.2
Not Available,1.0,Not Available,1628.0,19.3,24.0,1051796.0,16.5
35,3.0,71,732.0,5.3,1.0,3011002.0,4.6
Not Available,1.0,Not Available,878.0,7.5,20.0,1086544.0,5.5
45,4.0,40,2284.0,4.1,6.0,4052874.0,4.1
56,2.0,69,3239.0,3.9,41.0,2096486.0,2.5
93,4.0,83,14009.0,3.9,60.0,4293311.0,4.4
72,4.0,24,7410.0,3.1,1.0,4159363.0,3.4
65,4.0,83,404.0,8.1,1.0,4004874.0,6.2
82,1.0,74,1932.0,4.9,10.0,1058671.0,4.6
Not Available,4.0,Not Available,2600.0,6.7,1.0,4307983.0,14.5
28,3.0,83,4685.0,9.8,24.0,3327591.0,3.8
24,3.0,73,1552.0,6.4,43.0,3042263.0,5.3
100,1.0,93,1073.0,0.6,1.0,1083785.0,4.2
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439921.0,7.5
82,3.0,73,6739.0,6.4,77.0,3180747.0,6.9
1,3.0,5,5051.0,15.2,1.0,3256655.0,12.1
Not Available,1.0,Not Available,1111.0,17.5,1.0,1083840.0,4.5
90,3.0,84,2622.0,5.5,28.0,3065733.0,6.1
Not Available,2.0,Not Available,3247.0,4.6,1.0,2097317.0,4.5
84,2.0,79,2696.0,3.8,85.0,2005348.0,3.3
86,2.0,57,3049.0,3.9,37.0,2011538.0,3.8
61,4.0,21,1514.0,3.7,1.0,4037370.0,7.1
14,1.0,Not Available,2116.0,7.3,33.0,1076742.0,Not Available
85,4.0,78,13718.0,4.9,1.0,4291453.0,4.2
61,1.0,Not Available,1967.0,5.3,24.0,1084102.0,Not Available
Not Available,3.0,Not Available,1183.0,13.4,1.0,3337842.0,8.5
67,5.0,62,7898.0,5,1.0,5107854.0,4.7
26,3.0,24,3738.0,11.1,15.0,3083929.0,11.8
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100248.0,2.5
4,2.0,Not Available,4293.0,7.5,31.0,2048831.0,Not Available
70,1.0,65,2160.0,8,18.0,1076751.0,8.5
71,1.0,60,1062.0,3.9,3.0,1026740.0,5.8
Not Available,3.0,Not Available,1498.0,3.5,6.0,3040195.0,3.3
29,4.0,45,18.0,6,1.0,4000019.0,5.3
51,3.0,28,1765.0,5.5,15.0,3049020.0,5.7
Not Available,1.0,Not Available,881.0,8,29.0,1018106.0,5.5
81,1.0,95,423.0,3.3,22.0,1005645.0,2.7
67,3.0,63,5445.0,4.9,1.0,3128909.0,4.4
4,5.0,4,7.0,12.7,12.0,5000064.0,12.4
69,3.0,73,1216.0,5.1,46.0,3030553.0,4.8
Not Available,1.0,Not Available,1637.0,8.3,141.0,1052167.0,9.1
Not Available,4.0,Not Available,15557.0,10.4,4.0,4298231.0,7.9
Not Available,5.0,Not Available,1704.0,11.1,1.0,5000000.0,Not Available
24,2.0,24,2643.0,8.9,1.0,2004558.0,8.1
12,4.0,26,7870.0,7.7,74.0,4529900.0,3.6
Not Available,1.0,Not Available,1966.0,8.9,61.0,1059547.0,11.4
Not Available,4.0,Not Available,6517.0,7.5,1.0,4467567.0,7.5
95,4.0,68,16167.0,5.3,99.0,4303773.0,4.6
Not Available,1.0,Not Available,1730.0,15.3,55.0,1081456.0,2.7
6,2.0,3,4894.0,8.8,1.0,2116222.0,9.4
81,3.0,38,7054.0,5.3,45.0,3189538.0,7.2
89,2.0,87,2335.0,11.1,16.0,2097050.0,11.4
44,4.0,Not Available,10144.0,6.4,47.0,4864928.0,Not Available
3,2.0,11,2359.0,6.5,100.0,2115801.0,6.5
Not Available,1.0,Not Available,991.0,0.7,50.0,1086214.0,0
Not Available,2.0,Not Available,5937.0,3.7,440.0,2101020.0,1.6
Not Available,3.0,Not Available,2451.0,4.1,8.0,3063507.0,4
55,3.0,70,437.0,6.9,1.0,3007326.0,5.9
Not Available,4.0,Not Available,10464.0,7.5,25.0,4222434.0,8.1
37,1.0,Not Available,1330.0,6,13.0,1038593.0,Not Available
Not Available,3.0,Not Available,2929.0,6.8,53.0,3070506.0,6.7
43,4.0,29,6185.0,7,1.0,4438249.0,6.4
,,,,,,,
73,2.0,87,3790.0,5,40.0,2025717.0,3.7
Not Available,1.0,Not Available,2076.0,4.1,41.0,1061917.0,4.9
Not Available,1.0,Not Available,1346.0,17.1,32.0,1039840.0,6.3
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439904.0,7.5
Not Available,1.0,Not Available,981.0,16.4,2.0,1022552.0,5.9
Not Available,1.0,Not Available,962.0,6.9,100.0,1069579.0,6.7
Not Available,3.0,Not Available,5494.0,11.2,89.0,3328495.0,3.6
Not Available,4.0,Not Available,6517.0,7.5,1.0,4439912.0,7.5
62,4.0,58,4647.0,4.8,1.0,4105232.0,4.8
65,3.0,73,7123.0,6.3,66.0,3192661.0,5.2
94,5.0,95,3930.0,4.8,10.0,5055367.0,4.2
94,1.0,24,122.0,3.8,1.0,1079147.0,9
65,2.0,74,2298.0,5.6,1.0,2097030.0,4.5
77,4.0,85,13353.0,5.9,20.0,4285972.0,4.7
98,3.0,100,3289.0,3.7,27.0,3075109.0,3
Not Available,4.0,Not Available,278.0,5.7,1.0,4003534.0,2.5
Not Available,2.0,Not Available,3073.0,13.8,13.0,2012125.0,3.1
66,4.0,24,9919.0,4.2,6.0,4212425.0,3.2
69,3.0,71,1630.0,4.7,1.0,3044493.0,3.9
90,2.0,86,3604.0,5.5,39.0,2022205.0,4.3
Not Available,3.0,Not Available,1294.0,6,1.0,3034075.0,6.6
Not Available,3.0,Not Available,7556.0,0.2,150.0,3327322.0,11.6
Not Available,3.0,Not Available,128.0,7,1.0,3335892.0,4.9
Not Available,3.0,Not Available,4089.0,10.1,25.0,3090717.0,9.9
Not Available,3.0,Not Available,3868.0,7,2.0,3085992.0,5.3
Not Available,5.0,Not Available,4442.0,2,51.0,5121944.0,2.5
87,4.0,86,7723.0,5.3,1.0,4163953.0,4.9
57,2.0,70,2664.0,5.7,29.0,2004773.0,4.3
Not Available,5.0,Not Available,2040.0,11,1.0,5107298.0,10.1
44,1.0,62,2233.0,7.2,20.0,1076776.0,5.6
Not Available,4.0,Not Available,1281.0,5.8,48.0,4029693.0,6.5
Not Available,1.0,Not Available,2109.0,6.3,55.0,1062551.0,5
Not Available,1.0,Not Available,531.0,7.6,49.0,1008526.0,8.5
89,4.0,95,8801.0,6.4,14.0,4180083.0,5.3
72,4.0,56,363.0,3.9,1.0,4004419.0,6
Not Available,4.0,Not Available,898.0,3.4,1.0,4532001.0,3.2
75,2.0,68,3008.0,3.8,1.0,2010916.0,3.7
43,3.0,33,3535.0,5.3,16.0,3081276.0,5.5
85,2.0,82,4205.0,12,1.0,2097551.0,12.5
Not Available,2.0,Not Available,2925.0,10,80.0,2009620.0,9.8
83,2.0,78,2403.0,5.4,1.0,2001736.0,5
88,3.0,100,7239.0,11.8,1.0,3337274.0,5.7
2,4.0,3,13265.0,13.1,30.0,4518258.0,12.4
58,3.0,59,4994.0,5.1,23.0,3113780.0,5.3
97,1.0,77,431.0,2.4,14.0,1005760.0,3.5
Not Available,1.0,Not Available,1949.0,10.4,29.0,1059240.0,5
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
38,3.0,25,7420.0,6.4,26.0,3203132.0,5.3
52,2.0,46,2965.0,5.7,82.0,2010273.0,5.3
Not Available,1.0,98,99999.0,Not Available,9999.0,1000000.0,2.7
96,4.0,86,9724.0,5.3,173.0,4208124.0,4.8
58,3.0,46,755.0,4.8,22.0,3011821.0,5.3
91,2.0,82,3104.0,5.9,7.0,2012887.0,5
Not Available,3.0,Not Available,1006.0,6.7,1.0,3022144.0,3.2
56,2.0,69,3239.0,3.9,41.0,2096486.0,2.5
Not Available,2.0,Not Available,3222.0,3.3,62.0,2096464.0,2.5
78,2.0,58,2435.0,6.2,75.0,2002299.0,5.8
79,3.0,76,3314.0,4,1.0,3075879.0,4
37,4.0,64,4229.0,5.6,14.0,4099925.0,5.5
21,2.0,7,4101.0,6.9,1.0,2044743.0,8.9
Not Available,4.0,Not Available,11884.0,20.1,1.0,4257531.0,14.8
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
Not Available,3.0,Not Available,3559.0,11.7,11.0,3081765.0,10.1
Not Available,3.0,Not Available,2619.0,12.3,3.0,3065579.0,11.7
Not Available,3.0,Not Available,3331.0,5.3,25.0,3076253.0,5.7
Not Available,1.0,Not Available,1229.0,5.8,31.0,1032683.0,6.4
Not Available,1.0,Not Available,1767.0,6.1,62.0,1054360.0,5.9
66,4.0,73,3172.0,4.4,2.0,4075214.0,3.1
19,2.0,41,2615.0,7.2,14.0,2004302.0,5.5
Not Available,4.0,Not Available,12495.0,17.3,45.0,4270044.0,16.7
Not Available,2.0,Not Available,2343.0,9.1,14.0,2820268.0,5.6
Not Available,4.0,Not Available,676.0,20,50.0,4011018.0,7.9
Not Available,3.0,Not Available,6821.0,4.9,142.0,3184035.0,5.8
25,5.0,23,683.0,7.6,1.0,5113169.0,8.2
93,4.0,91,11694.0,4.6,27.0,4253028.0,4.8
Not Available,2.0,Not Available,3272.0,12.8,1.0,2113265.0,3.7
Not Available,3.0,Not Available,1512.0,8.3,1.0,3040990.0,7.7
Not Available,4.0,Not Available,6517.0,7.5,1.0,4467561.0,7.5
79,4.0,59,842.0,4.5,31.0,4017485.0,4.1
89,3.0,81,3636.0,4.3,7.0,3082940.0,4.5
83,4.0,87,10626.0,4.6,1.0,4226839.0,3.9
72,3.0,90,192.0,4.4,13.0,3001190.0,4
Not Available,2.0,Not Available,3247.0,4.6,165.0,2097309.0,4.5
94,5.0,91,955.0,5,1.0,5146639.0,4.9
Not Available,1.0,Not Available,1819.0,10.7,15.0,1089371.0,5.1
Not Available,2.0,Not Available,3222.0,3.3,62.0,2100244.0,2.5
51,3.0,43,1490.0,7.6,1.0,3039906.0,7.4
30,4.0,40,1538.0,5.8,75.0,4467710.0,5
Not Available,1.0,Not Available,34.0,0.5,37.0,1000866.0,8
Not Available,3.0,Not Available,8760.0,10.2,60.0,3347727.0,10.4
8,4.0,17,100.0,6.4,1.0,4000744.0,5.4
87,5.0,47,4373.0,3.4,1.0,5059927.0,5.7
Not Available,2.0,Not Available,3222.0,3.3,40.0,2097307.0,2.5
61,4.0,49,11972.0,5.6,70.0,4259200.0,4.9
Not Available,3.0,Not Available,1036.0,4.9,18.0,3023510.0,2.6
47,3.0,63,4669.0,8.1,37.0,3101840.0,7
Not Available,2.0,Not Available,3120.0,36,20.0,2123911.0,32.8
84,3.0,69,5323.0,4.3,32.0,3124109.0,4.5
84,4.0,93,1497.0,13.3,1.0,4037028.0,10.3
73,5.0,46,73.0,6.1,64.0,5001823.0,4.8
63,2.0,14,2843.0,5.8,40.0,2008098.0,6.1
48,2.0,56,3062.0,5.5,43.0,2099356.0,5.2
Not Available,1.0,Not Available,869.0,26.9,74.0,1017602.0,25.2
48,4.0,13,5865.0,5.9,50.0,4131147.0,5.6
65,1.0,66,779.0,5,75.0,1014306.0,5
77,3.0,84,2227.0,5.1,1.0,3061064.0,4.9
Not Available,1.0,Not Available,2134.0,8.5,218.0,1087614.0,8.3
95,1.0,97,269.0,3.1,41.0,1003223.0,3.4
12,1.0,16,122.0,14.7,1.0,1079146.0,14.7
49,2.0,32,3644.0,6.4,1.0,2103869.0,5.3
84,3.0,68,197.0,3.9,28.0,3335918.0,5
Not Available,1.0,Not Available,16.0,11.8,10.0,1084594.0,12
Not Available,3.0,Not Available,3228.0,4.4,20.0,3073408.0,4.4
87,4.0,96,9679.0,5,67.0,4448758.0,1.4
81,3.0,66,7849.0,4.1,1.0,3218626.0,3.3
62,3.0,68,5416.0,4.9,48.0,3127692.0,4.3
93,4.0,93,810.0,3.5,1.0,4016102.0,3.4
63,1.0,41,1850.0,4.7,2.0,1055890.0,8.5
44,4.0,27,6507.0,5,150.0,4467571.0,5
Not Available,3.0,Not Available,1361.0,4.1,66.0,3036100.0,3.9
91,3.0,89,3212.0,4.4,1.0,3073018.0,4.1
95,3.0,89,1844.0,4.3,1.0,3053020.0,5.4
Not Available,4.0,Not Available,10101.0,1.8,11.0,4215617.0,1.2
Not Available,2.0,Not Available,4974.0,10.3,28.0,2090261.0,9.3
Not Available,3.0,31,35.0,5.9,21.0,3335858.0,3.3
76,5.0,87,331.0,5.9,1.0,5009028.0,4.3
95,2.0,78,3251.0,6.5,201.0,2095215.0,7.1
56,3.0,67,5319.0,4.6,1.0,3124019.0,3.8
Not Available,1.0,Not Available,2.0,16.2,1.0,1085792.0,8.4
98,5.0,98,7315.0,4.7,7.0,5086781.0,4.2
Not Available,2.0,Not Available,3211.0,5.7,5.0,2014579.0,5.7
47,4.0,5,3846.0,6.3,40.0,4094055.0,6.5
80,4.0,82,9280.0,4.7,1.0,4193916.0,3.7
78,1.0,97,1595.0,5,15.0,1051410.0,2.3
85,1.0,65,1926.0,4,17.0,1058470.0,6.2
74,1.0,66,2164.0,7.1,32.0,1063928.0,7
27,1.0,31,1601.0,6.5,1.0,1051434.0,6.4
Not Available,2.0,Not Available,3736.0,4.6,1.0,2023714.0,3.3
93,2.0,51,3069.0,5.6,1.0,2011995.0,4.9
93,3.0,92,2098.0,7.7,13.0,3058752.0,8.2
89,2.0,74,2925.0,5.9,56.0,2009617.0,4.3
63,4.0,84,2864.0,3.9,36.0,4064938.0,2.4
90,2.0,93,2411.0,4.5,119.0,2001881.0,3.5
Not Available,5.0,Not Available,319.0,19.8,1.0,5112428.0,50.7
71,4.0,66,2083.0,6.6,123.0,4050414.0,5.6
2,1.0,52,1734.0,23.3,1.0,1082170.0,15.5
68,3.0,68,1759.0,4.6,13.0,3048818.0,3.8
100,3.0,100,7553.0,1.5,41.0,3205788.0,1.6
Not Available,2.0,Not Available,2605.0,15.5,40.0,0.0,12.7
7,3.0,32,4829.0,25.7,1.0,3327720.0,17.7
88,2.0,93,3222.0,6.5,100.0,2096465.0,2.2
Not Available,3.0,Not Available,239.0,4.6,16.0,3001939.0,5.2
39,2.0,18,2930.0,6.5,75.0,2100071.0,6.9
Not Available,3.0,Not Available,6783.0,7,68.0,3182576.0,6.6
80,3.0,44,3343.0,3.7,1.0,3076460.0,3
64,5.0,67,1987.0,5.6,104.0,5034476.0,4.6
34,4.0,43,6373.0,4.8,1.0,4139491.0,4.4
69,3.0,71,1630.0,4.7,1.0,3044493.0,3.9
90,3.0,83,1034.0,4.9,1.0,3023391.0,5.2
Not Available,4.0,Not Available,10118.0,4.6,34.0,4858182.0,0.9
86,4.0,Not Available,1454.0,5.6,18.0,4035799.0,0
35,2.0,21,2535.0,5.3,10.0,2116205.0,5.3
79,2.0,50,2390.0,4.7,1.0,2001619.0,5.3
79,1.0,82,166.0,6.1,27.0,1001830.0,6.9
Not Available,2.0,Not Available,2824.0,5.7,34.0,2007870.0,6.2
Not Available,3.0,Not Available,1520.0,5.1,51.0,3339185.0,4.7
49,4.0,6,3563.0,4.4,23.0,4085922.0,3.7
Not Available,2.0,Not Available,3247.0,4.6,1.0,2098696.0,4.5
Not Available,1.0,Not Available,1779.0,11.1,1.0,1054511.0,2
Not Available,3.0,Not Available,7918.0,10.4,114.0,3221976.0,10.2
100,4.0,95,7930.0,3.4,2.0,4166101.0,3.5
2,1.0,52,1734.0,23.3,1.0,1082172.0,15.5
83,1.0,74,1632.0,4.4,11.0,1081340.0,4.5
Not Available,1.0,Not Available,387.0,5.4,49.0,1004651.0,5.3
91,1.0,93,1038.0,3.7,14.0,1025092.0,3.4
100,4.0,100,6044.0,3.9,1.0,4134578.0,3.2
47,3.0,35,4477.0,4.3,1.0,3098664.0,4.8
Not Available,4.0,Not Available,9064.0,1.7,31.0,4541381.0,Not Available
Not Available,5.0,Not Available,2040.0,11,1.0,5130987.0,10.1
10,3.0,12,2491.0,18.3,201.0,3336650.0,31
68,2.0,55,2443.0,6.4,94.0,2099027.0,6.7
89,2.0,85,2817.0,4.1,2.0,2007806.0,5
26,1.0,Not Available,1073.0,5.3,14.0,1089418.0,Not Available
Not Available,3.0,Not Available,1353.0,12.7,1.0,3393257.0,17
82,3.0,90,6088.0,5.2,1.0,3154775.0,4.3
72,2.0,72,4358.0,5.4,1.0,2050179.0,4.8
77,4.0,74,9653.0,5.5,1.0,4206522.0,5.5
Not Available,4.0,Not Available,6517.0,7.5,1.0,4442884.0,7.5
82,1.0,74,1215.0,5.2,1.0,1032128.0,5.3
Not Available,1.0,Not Available,777.0,15,37.0,1014252.0,16.4
31,2.0,1,3172.0,5.6,46.0,2013899.0,9.8
Not Available,3.0,Not Available,1498.0,5.7,35.0,3040218.0,6.9
Not Available,2.0,Not Available,2557.0,8.6,1.0,2003692.0,11.5
Not Available,1.0,Not Available,878.0,7.5,20.0,1018015.0,5.5
46,3.0,68,6294.0,5.6,1.0,3163702.0,4.4
94,4.0,92,84.0,4.2,11.0,4441059.0,4.3
Not Available,1.0,Not Available,457.0,2.8,7.0,1006537.0,3.3
Not Available,5.0,Not Available,2040.0,11.1,1.0,5107305.0,10.1
Not Available,1.0,Not Available,1957.0,4.8,200.0,1084081.0,7.6
97,1.0,96,1545.0,3.8,5.0,1049876.0,3.8
91,4.0,92,15974.0,5,3.0,4302397.0,4.6
Not Available,5.0,Not Available,76.0,5.1,200.0,5000000.0,6.3
Not Available,4.0,Not Available,523.0,18.4,12.0,4005787.0,11.2
78,2.0,86,3061.0,6,55.0,2011844.0,4.9
80,3.0,87,1701.0,6.5,1.0,3047996.0,5.5
32,3.0,34,8666.0,7.5,610.0,3244470.0,7.6
69,5.0,43,276.0,4.7,7.0,5007417.0,3.5
69,3.0,52,4530.0,4.7,1.0,3346166.0,4.8
Not Available,4.0,Not Available,10941.0,7.8,206.0,4234212.0,5.6
Not Available,1.0,Not Available,1151.0,15.6,15.0,1086545.0,1.4
Not Available,5.0,Not Available,319.0,15,1.0,5112422.0,7.7
Not Available,3.0,Not Available,1136.0,9.2,11.0,3027813.0,Not Available
24,5.0,Not Available,3168.0,5.6,4.0,5046367.0,Not Available
Not Available,1.0,Not Available,1087.0,8.6,25.0,1027085.0,6.3
97,3.0,98,169.0,4.4,9.0,3000533.0,4
94,4.0,95,9867.0,4.4,2.0,4211027.0,3.7
78,4.0,71,13331.0,3.6,1.0,4285682.0,3.2
46,3.0,18,3704.0,6.4,1.0,3083660.0,8.5
89,3.0,45,3025.0,3.6,1.0,3070825.0,4
100,1.0,55,1373.0,12.2,20.0,1085548.0,22.6
54,1.0,72,1957.0,6.6,10.0,1059407.0,5.3
Not Available,2.0,Not Available,2365.0,9.1,1.0,2001194.0,3.9
12,1.0,Not Available,16.0,7.7,40.0,1087945.0,Not Available
43,2.0,38,2462.0,6.9,39.0,2101266.0,7.7
84,1.0,71,1816.0,3.8,1.0,1084005.0,4.6
67,4.0,56,10926.0,5.3,50.0,4233850.0,5.3
69,3.0,77,7185.0,3.9,20.0,3385667.0,3.4
28,4.0,74,10155.0,6.3,29.0,4216225.0,5.1
84,1.0,71,1816.0,3.8,1.0,1084005.0,4.6
60,4.0,28,12200.0,5.8,52.0,4264631.0,7.7
94,3.0,96,3016.0,4.7,1.0,3325733.0,4.2
Not Available,2.0,Not Available,2450.0,12.7,40.0,2096490.0,11.8
Not Available,3.0,Not Available,8760.0,10.2,60.0,3326938.0,10.4
86,4.0,86,5328.0,4.9,1.0,4438184.0,4.4
41,1.0,53,1684.0,7.9,101.0,1081366.0,6.7
Not Available,3.0,Not Available,2604.0,4,1.0,3065442.0,2
Not Available,1.0,Not Available,150.0,8,25.0,1001647.0,5.6
10,3.0,12,2491.0,18.3,101.0,3336623.0,31
Not Available,2.0,Not Available,2516.0,5,51.0,2003301.0,4.7
36,4.0,14,15820.0,7.3,1.0,4467711.0,6.7
Not Available,4.0,Not Available,2611.0,11.7,447.0,4462340.0,3.7
22,2.0,11,3109.0,6.2,1.0,2012957.0,6.2
97,1.0,94,1442.0,4.1,1.0,1083343.0,5.9
